metric_name,group_name,data_period,est,lci,uci,geo_name,state_abbr,period_type,source_name
Binge Drinking,Total,2022,18.6,16.3,20.9,Hawaii,HI,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.7,16.8,20.6,Honolulu,HI,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.3,15.1,19.5,Kauai,HI,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.7,15.6,19.8,Maui,HI,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17,14.3,19.7,Auburn,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,12.6,10.8,14.4,Birmingham,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,13.9,11.4,16.4,Decatur,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,12.8,10.6,15,Dothan,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.5,13.6,17.4,Hoover,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.9,12.6,17.2,Huntsville,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.3,14,18.6,Madison,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.2,12.1,16.3,Mobile,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,12.3,10.3,14.3,Montgomery,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.8,12.4,17.2,Tuscaloosa,AL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.1,17.1,21.1,Anchorage,AK,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.5,13.1,17.9,Kodiak,AK,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.3,16.5,20.1,Avondale,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.4,16.5,20.3,Buckeye,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.1,13,17.2,Casa Grande,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.3,14.4,18.2,Casas Adobes,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14,12.3,15.7,Catalina Foothills,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,16.4,20,Chandler,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.5,17.9,23.1,Flagstaff,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.8,17.8,21.8,Gilbert,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.1,15.3,18.9,Glendale,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17,15.3,18.7,Goodyear,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.2,14,18.4,Kingman,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15,12.9,17.1,Lake Havasu City,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17,15,19,Marana,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.5,15.2,19.8,Maricopa,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.6,15.8,19.4,Mesa,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.2,15.5,18.9,Peoria,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,16,19.6,Phoenix,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.7,17.9,21.5,Queen Creek,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.4,16.9,21.9,San Tan Valley,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.7,15,18.4,Scottsdale,AZ,1 year modeled estimate,PLACES
